time_s,hip_hold_raw,hip_pos_raw,hip_error_raw,hip_error_wrap_raw,hip_error_output_rad,hip_vel_raw,thigh_target_raw,thigh_pos_raw,thigh_error_raw,thigh_error_wrap_raw,thigh_vel_raw,thigh_target_delta_raw,thigh_pos_delta_raw,thigh_target_delta_output_rad,thigh_pos_delta_output_rad,thigh_error_output_rad,thigh_sine_command_output_rad,thigh_sine_phase_rad,hip_compensation_enabled,hip_bias_enabled,hip_bias_output_rad,thigh_sine_amplitude_rad,thigh_sine_period_s,gear_ratio,motor_sign,rate_hz,hip_kp,hip_kd,hip_torque_limit,thigh_kp,thigh_kd,thigh_torque_limit
12.068748235702515,-10.593671798706055,-4.729262828826904,-5.86440896987915,0.41877633730043584,0.34496523352230296,0.00583258643746376,-0.6428170194028437,-3.232097625732422,2.589280606329578,2.589280606329578,0.8889211416244507,-4.3841962804196895,-6.973476886749268,0.257893898848217,0.4102045227499569,-0.15231062390173988,0.257893898848217,15.166036318123119,0,0,0.0,0.5,5.0,17.0,-1.0,80.0,0.02,0.01,1.3,0.035,0.004,0.22
12.081538200378418,-10.593671798706055,-4.718524932861328,-5.875146865844727,0.40803844133485967,0.3455968744614545,0.020493540912866592,-0.5252155674270815,-3.3563499450683594,2.831134377641278,2.831134377641278,0.0,-4.266594828443927,-7.097729206085205,0.25097616637905457,0.4175134827108944,-0.16653731633183988,0.25097616637905457,15.182108661749316,0,0,0.0,0.5,5.0,17.0,-1.0,80.0,0.02,0.01,1.3,0.035,0.004,0.22
12.094334363937378,-10.593671798706055,-4.683243274688721,-5.910428524017334,0.37275678316225225,0.3476722661186667,0.005832837428897619,-0.4064541973636082,-3.189146041870117,2.782691844506509,2.782691844506509,0.8889594078063965,-4.147833458380454,-6.930525302886963,0.24399020343414435,0.40767795899335074,-0.16368775555920642,0.24399020343414435,15.1981887951217,0,0,0.0,0.5,5.0,17.0,-1.0,80.0,0.02,0.01,1.3,0.035,0.004,0.22
12.107198476791382,-10.593671798706055,-4.660233974456787,-5.933437824249268,0.34974748293031865,0.34902575436760397,1.0892060345213395e-05,-0.28598120139891225,-3.1630685329437256,2.8770873315448133,2.8770873315448133,3.1233389377593994,-4.027360462415758,-6.904447793960571,0.23690355661269163,0.4061439878800336,-0.16924043126734195,0.23690355661269166,15.214354316096536,0,0,0.0,0.5,5.0,17.0,-1.0,80.0,0.02,0.01,1.3,0.035,0.004,0.22
12.120046615600586,-10.593671798706055,-4.660233974456787,-5.933437824249268,0.34974748293031865,0.34902575436760397,2.5110679757744947e-07,-0.16460732615114493,-4.65256404876709,4.4879567226159445,-1.7952285845636418,0.00047245624591596425,-3.9059865871679906,-8.393943309783936,0.22976391689223474,0.4937613711637609,-0.26399745427152616,0.22976391689223474,15.230499763494654,0,0,0.0,0.5,5.0,17.0,-1.0,80.0,0.02,0.01,1.3,0.035,0.004,0.22
12.132807493209839,-10.593671798706055,-4.618816375732422,-5.974855422973633,0.3083298842059534,0.35146208370433135,3.1249637603759766,-0.04304989567113093,-3.1584665775299072,3.1154166818587763,3.1154166818587763,8.626610122719268e-25,-3.7844291566879766,-6.899845838546753,0.2226134798051751,0.40587328462039723,-0.18325980481522214,0.2226134798051751,15.246535555234889,0,0,0.0,0.5,5.0,17.0,-1.0,80.0,0.02,0.01,1.3,0.035,0.004,0.22
12.145383834838867,-10.593671798706055,-4.608078479766846,-5.985593318939209,0.29759198824037725,0.3520937246434829,0.889055609703064,0.07770195750904252,-4.608078479766846,4.685780437275888,-1.5974048699036985,0.020496388897299767,-3.663677303507803,-8.349457740783691,0.21551042961810607,0.491144572987276,-0.27563414336916986,0.21551042961810607,15.262339452223205,0,0,0.0,0.5,5.0,17.0,-1.0,80.0,0.02,0.01,1.3,0.035,0.004,0.22
12.158186435699463,-10.593671798706055,-4.53904914855957,-6.054622650146484,0.22856265703310186,0.3561542735380285,11.885099411010742,0.20156592782077265,-3.089437484741211,3.2910034125619836,-2.9921818946176026,3.377967119216919,-3.539813333196073,-6.830816745758057,0.20822431371741607,0.40181274975047393,-0.19358843603305786,0.20822431371741607,15.2784276749474,0,0,0.0,0.5,5.0,17.0,-1.0,80.0,0.02,0.01,1.3,0.035,0.004,0.22
12.171056032180786,-10.593671798706055,-4.480758190155029,-6.112913608551025,0.17027169862856084,0.35958315344417796,3.1439292430877686,0.32700141535169536,-3.021942138671875,3.3489435540235704,-2.934241753156016,0.9110862016677856,-3.4143778456651503,-6.763321399688721,0.2008457556273618,0.3978424352758071,-0.1969966796484453,0.2008457556273618,15.294600086851556,0,0,0.0,0.5,5.0,17.0,-1.0,80.0,0.02,0.01,1.3,0.035,0.004,0.22
12.183875560760498,-10.593671798706055,-4.454680442810059,-6.138991355895996,0.14419395128359014,0.3611171385821174,0.8947567939758301,0.4528367470182695,-3.3563499450683594,3.809186692086629,-2.473998615092958,2.82759080906525e-12,-3.2885425139985762,-7.097729206085205,0.1934436772940339,0.4175134827108944,-0.22406980541686053,0.1934436772940339,15.31070958157496,0,0,0.0,0.5,5.0,17.0,-1.0,80.0,0.02,0.01,1.3,0.035,0.004,0.22
